host_id,lgas_count,total_listings,total_stays,avg_price_across_lgas,distribution_type,lga_names,lga_codes
179896799,1,8.0,109.0,100.0,CONCENTRATED,CANTERBURY-BANKSTOWN,11570
1801071,1,8.0,240.0,115.625,CONCENTRATED,INNER WEST,14170
180556821,1,8.0,0.0,192.625,CONCENTRATED,SYDNEY,17200
18075864,1,8.0,8.0,180.125,CONCENTRATED,WAVERLEY,18050
181547184,1,8.0,41.0,192.25,CONCENTRATED,SYDNEY,17200
18230538,1,8.0,72.0,311.25,CONCENTRATED,SYDNEY,17200
18246079,1,8.0,66.0,203.75,CONCENTRATED,NORTH SYDNEY,15950
18366782,1,8.0,240.0,303.5,CONCENTRATED,NORTHERN BEACHES,15990
183821743,1,8.0,103.0,214.25,CONCENTRATED,SYDNEY,17200
183990516,1,8.0,240.0,148.125,CONCENTRATED,SYDNEY,17200
184329083,1,8.0,79.0,282.5,CONCENTRATED,NORTHERN BEACHES,15990
1864730,1,8.0,0.0,250.0,CONCENTRATED,WOOLLAHRA,18500
187581475,1,8.0,155.0,384.375,CONCENTRATED,NORTH SYDNEY,15950
18850009,1,8.0,239.0,33.25,CONCENTRATED,SYDNEY,17200
188821240,1,8.0,240.0,131.125,CONCENTRATED,WAVERLEY,18050
189791358,1,8.0,240.0,92.5,CONCENTRATED,INNER WEST,14170
19024481,1,8.0,240.0,160.125,CONCENTRATED,RANDWICK,16550
190873695,1,8.0,240.0,213.375,CONCENTRATED,RANDWICK,16550
19212488,1,8.0,0.0,89.5,CONCENTRATED,SYDNEY,17200
192215949,1,8.0,56.0,164.875,CONCENTRATED,WILLOUGHBY,18250
19384414,1,8.0,240.0,149.0,CONCENTRATED,SYDNEY,17200
195754051,1,8.0,240.0,207.5,CONCENTRATED,WOOLLAHRA,18500
195792,1,8.0,79.0,105.5,CONCENTRATED,NORTHERN BEACHES,15990
19657638,1,8.0,240.0,120.0,CONCENTRATED,INNER WEST,14170
19712291,1,8.0,205.0,212.5,CONCENTRATED,WOOLLAHRA,18500
19796813,1,8.0,240.0,99.875,CONCENTRATED,WAVERLEY,18050
197987,1,8.0,176.0,849.875,CONCENTRATED,MOSMAN,15350
19854409,1,8.0,240.0,89.0,CONCENTRATED,SYDNEY,17200
19867212,1,8.0,1.0,127.0,CONCENTRATED,RANDWICK,16550
200657549,1,8.0,24.0,135.5,CONCENTRATED,SYDNEY,17200
20102942,1,8.0,0.0,160.25,CONCENTRATED,LANE COVE,14700
201452,1,8.0,171.0,139.875,CONCENTRATED,RANDWICK,16550
20258,1,8.0,161.0,142.375,CONCENTRATED,SYDNEY,17200
204850692,1,8.0,240.0,146.5,CONCENTRATED,UPPER HUNTER SHIRE,17620
2061491,1,8.0,240.0,300.0,CONCENTRATED,WAVERLEY,18050
209719,1,8.0,130.0,117.375,CONCENTRATED,SYDNEY,17200
2119490,1,8.0,38.0,162.375,CONCENTRATED,SYDNEY,17200
21245814,1,8.0,240.0,160.75,CONCENTRATED,WAVERLEY,18050
214226827,1,8.0,157.0,138.875,CONCENTRATED,SYDNEY,17200
21446557,1,8.0,109.0,150.0,CONCENTRATED,WAVERLEY,18050
214879922,1,8.0,182.0,125.5,CONCENTRATED,WAVERLEY,18050
215158301,1,8.0,229.0,325.0,CONCENTRATED,MOSMAN,15350
2155888,1,8.0,137.0,94.375,CONCENTRATED,WOOLLAHRA,18500
21576738,1,8.0,39.0,337.625,CONCENTRATED,RANDWICK,16550
215836282,1,8.0,124.0,45.0,CONCENTRATED,BAYSIDE,11100
21592410,1,8.0,68.0,263.125,CONCENTRATED,NORTHERN BEACHES,15990
217548213,1,8.0,239.0,102.625,CONCENTRATED,WAVERLEY,18050
219587286,1,8.0,181.0,108.875,CONCENTRATED,BAYSIDE,11100
22031330,1,8.0,0.0,147.125,CONCENTRATED,LANE COVE,14700
2210763,1,8.0,240.0,337.625,CONCENTRATED,WAVERLEY,18050
221984160,1,8.0,0.0,250.0,CONCENTRATED,WAVERLEY,18050
22247219,1,8.0,56.0,81.875,CONCENTRATED,SYDNEY,17200
223082890,1,8.0,0.0,718.75,CONCENTRATED,LANE COVE,14700
223226693,1,8.0,8.0,87.625,CONCENTRATED,CANADA BAY,11520
223407505,1,8.0,17.0,128.5,CONCENTRATED,CANADA BAY,11520
22348306,1,8.0,32.0,71.5,CONCENTRATED,LANE COVE,14700
22386607,1,8.0,111.0,235.0,CONCENTRATED,SYDNEY,17200
22390718,1,8.0,240.0,200.125,CONCENTRATED,WOOLLAHRA,18500
224870453,1,8.0,0.0,500.125,CONCENTRATED,NORTHERN BEACHES,15990
224888155,1,8.0,199.0,195.0,CONCENTRATED,SYDNEY,17200
2249904,1,8.0,8.0,65.5,CONCENTRATED,WAVERLEY,18050
225024352,1,8.0,0.0,77.0,CONCENTRATED,RANDWICK,16550
22551224,1,8.0,56.0,218.75,CONCENTRATED,SYDNEY,17200
22590644,1,8.0,16.0,200.125,CONCENTRATED,NORTHERN BEACHES,15990
226262,1,8.0,210.0,161.125,CONCENTRATED,SYDNEY,17200
226446421,1,8.0,63.0,53.75,CONCENTRATED,BAYSIDE,11100
226768051,1,8.0,240.0,70.625,CONCENTRATED,SYDNEY,17200
227420212,1,8.0,61.0,85.25,CONCENTRATED,BAYSIDE,11100
227761455,1,8.0,8.0,150.25,CONCENTRATED,LANE COVE,14700
228320658,1,8.0,205.0,460.25,CONCENTRATED,WAVERLEY,18050
22841449,1,8.0,240.0,110.125,CONCENTRATED,SYDNEY,17200
228649748,1,8.0,232.0,684.375,CONCENTRATED,SYDNEY,17200
232395319,1,8.0,216.0,61.84,CONCENTRATED,INNER WEST,14170
23278827,1,8.0,29.0,300.125,CONCENTRATED,INNER WEST,14170
23317066,1,8.0,240.0,298.125,CONCENTRATED,WOOLLAHRA,18500
