property_type,room_type,accommodates,total_stays,avg_revenue_per_active_listing,total_active_listings,months_with_data,stays_rank,revenue_rank
HOUSE,ENTIRE HOME/APT,9,1004.0,15214.89,56.0,1,1,61
HOUSE,PRIVATE ROOM,2,983.0,2141.83,40.0,1,2,389
ENTIRE APARTMENT,ENTIRE HOME/APT,3,893.0,4720.72,32.0,1,3,224
GUEST SUITE,PRIVATE ROOM,2,685.0,1619.31,72.0,1,4,446
PRIVATE ROOM IN GUEST SUITE,PRIVATE ROOM,2,682.0,1399.32,38.0,1,5,473
PRIVATE ROOM IN APARTMENT,PRIVATE ROOM,1,672.0,1236.24,29.0,1,6,496
TOWNHOUSE,ENTIRE HOME/APT,4,619.0,5699.69,36.0,1,7,182
APARTMENT,PRIVATE ROOM,2,611.0,1964.33,24.0,1,8,413
ENTIRE HOUSE,ENTIRE HOME/APT,3,582.0,3578.76,25.0,1,9,272
CONDOMINIUM,PRIVATE ROOM,2,582.0,670.9,59.0,1,10,583
GUESTHOUSE,ENTIRE HOME/APT,4,567.0,2043.03,37.0,1,11,400
APARTMENT,PRIVATE ROOM,3,554.0,821.25,64.0,1,12,563
TOWNHOUSE,ENTIRE HOME/APT,6,512.0,5500.56,39.0,1,13,188
CONDOMINIUM,ENTIRE HOME/APT,2,509.0,2635.52,29.0,1,14,336
APARTMENT,ENTIRE HOME/APT,8,488.0,3178.73,49.0,1,15,296
BOUTIQUE HOTEL,PRIVATE ROOM,2,474.0,1615.29,65.0,1,16,448
HOUSE,PRIVATE ROOM,1,471.0,1261.05,20.0,1,17,491
LOFT,ENTIRE HOME/APT,2,435.0,2564.46,24.0,1,18,344
VILLA,ENTIRE HOME/APT,8,422.0,48576.1,21.0,1,19,18
APARTMENT,ENTIRE HOME/APT,7,403.0,2617.18,34.0,1,20,339
APARTMENT,PRIVATE ROOM,4,395.0,1314.68,41.0,1,21,485
APARTMENT,PRIVATE ROOM,1,327.0,1839.27,11.0,1,22,420
CONDOMINIUM,ENTIRE HOME/APT,4,317.0,2607.0,22.0,1,23,340
ENTIRE COTTAGE,ENTIRE HOME/APT,2,316.0,5415.08,13.0,1,24,191
TOWNHOUSE,ENTIRE HOME/APT,8,308.0,6134.17,18.0,1,25,173
VILLA,PRIVATE ROOM,1,291.0,396.62,29.0,1,26,630
ENTIRE GUESTHOUSE,ENTIRE HOME/APT,2,290.0,2584.93,15.0,1,27,343
PRIVATE ROOM IN HOUSE,PRIVATE ROOM,1,288.0,968.35,17.0,1,28,543
HOUSE,ENTIRE HOME/APT,11,286.0,10923.13,16.0,1,29,90
CABIN,ENTIRE HOME/APT,2,282.0,2327.24,17.0,1,30,373
HOUSE,ENTIRE HOME/APT,3,256.0,3367.85,13.0,1,31,286
GUESTHOUSE,ENTIRE HOME/APT,3,251.0,1638.41,17.0,1,32,445
TOWNHOUSE,PRIVATE ROOM,3,238.0,705.74,23.0,1,33,576
LOFT,ENTIRE HOME/APT,4,229.0,2530.62,13.0,1,34,346
CONDOMINIUM,ENTIRE HOME/APT,6,223.0,3529.42,12.0,1,35,276
PRIVATE ROOM IN TOWNHOUSE,PRIVATE ROOM,3,205.0,1226.8,10.0,1,36,500
ENTIRE HOUSE,ENTIRE HOME/APT,7,204.0,13122.86,7.0,1,37,72
CONDOMINIUM,PRIVATE ROOM,1,200.0,539.68,22.0,1,38,606
ENTIRE APARTMENT,ENTIRE HOME/APT,2,197.0,2447.11,9.0,1,39,354
ENTIRE COTTAGE,ENTIRE HOME/APT,6,195.0,8250.63,8.0,1,41,127
HOTEL,PRIVATE ROOM,2,195.0,840.03,38.0,1,40,558
ENTIRE CONDOMINIUM,ENTIRE HOME/APT,5,183.0,5144.14,7.0,1,42,206
ENTIRE HOUSE,ENTIRE HOME/APT,11,182.0,12757.14,7.0,1,43,74
APARTMENT,ENTIRE HOME/APT,9,181.0,3580.0,10.0,1,44,271
ENTIRE HOUSE,ENTIRE HOME/APT,10,180.0,18862.29,7.0,1,45,47
APARTMENT,ENTIRE HOME/APT,1,177.0,8928.44,16.0,1,46,114
HOUSE,ENTIRE HOME/APT,14,174.0,12437.85,13.0,1,47,76
COTTAGE,ENTIRE HOME/APT,5,172.0,4235.0,8.0,1,48,238
GUEST SUITE,PRIVATE ROOM,1,166.0,499.0,17.0,1,49,612
TOWNHOUSE,ENTIRE HOME/APT,5,163.0,2677.4,15.0,1,50,332
ENTIRE HOUSE,ENTIRE HOME/APT,5,161.0,7948.33,6.0,1,51,133
ENTIRE BUNGALOW,ENTIRE HOME/APT,2,157.0,3259.5,6.0,1,52,293
LOFT,PRIVATE ROOM,2,155.0,1612.83,12.0,1,53,449
GUESTHOUSE,ENTIRE HOME/APT,5,153.0,3266.25,8.0,1,54,291
GUEST SUITE,ENTIRE HOME/APT,5,153.0,2393.56,9.0,1,55,368
ENTIRE APARTMENT,ENTIRE HOME/APT,10,151.0,6757.88,8.0,1,56,162
VILLA,ENTIRE HOME/APT,6,150.0,21523.1,10.0,1,58,41
BOUTIQUE HOTEL,PRIVATE ROOM,3,150.0,1225.31,16.0,1,57,501
APARTMENT,ENTIRE HOME/APT,4,148.0,3942.5,6.0,1,60,256
TOWNHOUSE,PRIVATE ROOM,2,148.0,1965.86,7.0,1,59,412
PRIVATE ROOM IN BUNGALOW,PRIVATE ROOM,1,148.0,1017.71,7.0,1,61,537
VILLA,ENTIRE HOME/APT,4,146.0,8279.89,9.0,1,62,126
HOUSE,ENTIRE HOME/APT,16,144.0,10521.0,11.0,1,64,92
COTTAGE,ENTIRE HOME/APT,3,144.0,4043.71,7.0,1,63,253
CABIN,PRIVATE ROOM,2,142.0,1314.08,12.0,1,65,486
APARTMENT,ENTIRE HOME/APT,2,139.0,4054.0,5.0,1,66,250
COTTAGE,PRIVATE ROOM,2,136.0,1564.0,6.0,1,67,452
GUEST SUITE,ENTIRE HOME/APT,6,135.0,2444.4,10.0,1,68,355
ENTIRE VILLA,ENTIRE HOME/APT,6,133.0,33426.0,5.0,1,69,25
SERVICED APARTMENT,ENTIRE HOME/APT,2,132.0,1166.5,24.0,1,70,510
ENTIRE APARTMENT,ENTIRE HOME/APT,6,130.0,6586.0,5.0,1,71,167
CONDOMINIUM,ENTIRE HOME/APT,3,130.0,3817.5,8.0,1,72,261
ENTIRE HOUSE,ENTIRE HOME/APT,1,129.0,2371.8,5.0,1,73,370
ENTIRE APARTMENT,ENTIRE HOME/APT,9,128.0,4740.67,6.0,1,75,221
PRIVATE ROOM IN COTTAGE,PRIVATE ROOM,2,128.0,1655.2,5.0,1,74,441
TOWNHOUSE,ENTIRE HOME/APT,9,124.0,8552.4,5.0,1,76,121
BUNGALOW,ENTIRE HOME/APT,4,124.0,3088.88,8.0,1,77,304
SHARED ROOM IN HOUSE,SHARED ROOM,2,124.0,1155.0,6.0,1,78,511
PRIVATE ROOM IN APARTMENT,PRIVATE ROOM,4,121.0,3133.0,5.0,1,80,298
LOFT,ENTIRE HOME/APT,3,121.0,3066.29,7.0,1,79,305
TOWNHOUSE,ENTIRE HOME/APT,2,119.0,2423.71,7.0,1,81,359
GUESTHOUSE,ENTIRE HOME/APT,2,118.0,3092.5,4.0,1,82,303
APARTMENT,ENTIRE HOME/APT,12,113.0,8743.0,6.0,1,83,117
ENTIRE LOFT,ENTIRE HOME/APT,4,113.0,5454.75,4.0,1,84,189
PRIVATE ROOM IN LOFT,PRIVATE ROOM,2,108.0,2922.0,5.0,1,85,318
ENTIRE TOWNHOUSE,ENTIRE HOME/APT,6,106.0,5418.6,5.0,1,86,190
ENTIRE GUEST SUITE,ENTIRE HOME/APT,5,104.0,3496.4,5.0,1,87,280
ENTIRE PLACE,ENTIRE HOME/APT,2,101.0,1773.14,7.0,1,88,429
ENTIRE APARTMENT,ENTIRE HOME/APT,4,99.0,3864.25,4.0,1,89,260
PRIVATE ROOM IN GUESTHOUSE,PRIVATE ROOM,3,99.0,749.63,8.0,1,90,570
ENTIRE COTTAGE,ENTIRE HOME/APT,8,98.0,6639.71,7.0,1,91,164
BED AND BREAKFAST,PRIVATE ROOM,1,95.0,409.67,12.0,1,92,626
SERVICED APARTMENT,ENTIRE HOME/APT,4,94.0,1841.08,13.0,1,93,419
LOFT,PRIVATE ROOM,1,93.0,449.25,4.0,1,94,617
ROOM IN SERVICED APARTMENT,HOTEL ROOM,2,92.0,5132.5,4.0,1,95,207
BOUTIQUE HOTEL,HOTEL ROOM,1,91.0,1194.43,7.0,1,96,508
ENTIRE TOWNHOUSE,ENTIRE HOME/APT,8,90.0,11040.0,3.0,1,100,89
VILLA,ENTIRE HOME/APT,2,90.0,7320.0,4.0,1,104,149
ENTIRE HOUSE,ENTIRE HOME/APT,4,90.0,6790.0,3.0,1,98,159
VILLA,ENTIRE HOME/APT,5,90.0,5810.0,3.0,1,105,178
PRIVATE ROOM IN TOWNHOUSE,PRIVATE ROOM,4,90.0,5150.0,3.0,1,103,205
ENTIRE LOFT,ENTIRE HOME/APT,2,90.0,3600.0,3.0,1,97,269
ENTIRE BUNGALOW,ENTIRE HOME/APT,3,90.0,2430.0,3.0,1,102,358
PRIVATE ROOM IN BUNGALOW,PRIVATE ROOM,3,90.0,1440.0,3.0,1,99,470
PRIVATE ROOM IN CONDOMINIUM,PRIVATE ROOM,4,90.0,1387.5,4.0,1,101,475
ENTIRE BUNGALOW,ENTIRE HOME/APT,5,89.0,6844.0,3.0,1,107,156
PRIVATE ROOM IN LOFT,PRIVATE ROOM,1,89.0,1373.67,3.0,1,106,479
ENTIRE LOFT,ENTIRE HOME/APT,3,88.0,4555.5,4.0,1,108,229
TOWNHOUSE,ENTIRE HOME/APT,7,87.0,3500.29,7.0,1,110,278
COTTAGE,PRIVATE ROOM,1,87.0,2258.33,3.0,1,109,377
BUNGALOW,ENTIRE HOME/APT,5,85.0,2942.67,6.0,1,111,317
GUEST SUITE,ENTIRE HOME/APT,2,85.0,1733.0,4.0,1,112,434
ENTIRE LOFT,ENTIRE HOME/APT,6,82.0,5389.33,3.0,1,113,196
ROOM IN HOTEL,HOTEL ROOM,2,81.0,1062.43,7.0,1,114,528
COTTAGE,ENTIRE HOME/APT,7,80.0,4879.2,5.0,1,115,213
APARTMENT,ENTIRE HOME/APT,5,80.0,3507.0,3.0,1,116,277
HOUSE,ENTIRE HOME/APT,13,79.0,8192.33,6.0,1,118,128
HOSTEL,SHARED ROOM,1,79.0,342.5,8.0,1,117,638
ENTIRE GUEST SUITE,ENTIRE HOME/APT,3,78.0,3426.0,3.0,1,120,283
PRIVATE ROOM IN GUESTHOUSE,PRIVATE ROOM,1,78.0,1106.67,3.0,1,119,516
PRIVATE ROOM IN HOSTEL,PRIVATE ROOM,3,77.0,1198.29,7.0,1,121,506
HOTEL,HOTEL ROOM,2,76.0,2194.5,4.0,1,122,384
TOWNHOUSE,PRIVATE ROOM,1,73.0,2091.67,3.0,1,123,397
BOUTIQUE HOTEL,PRIVATE ROOM,1,73.0,1531.2,5.0,1,124,455
ENTIRE BUNGALOW,ENTIRE HOME/APT,4,71.0,3104.67,3.0,1,125,301
PRIVATE ROOM IN HOUSE,PRIVATE ROOM,4,70.0,471.38,8.0,1,126,614
BUNGALOW,PRIVATE ROOM,1,69.0,438.0,10.0,1,127,621
PRIVATE ROOM IN HOUSE,PRIVATE ROOM,5,68.0,1027.8,5.0,1,128,534
ENTIRE VILLA,ENTIRE HOME/APT,10,67.0,66766.67,3.0,1,130,15
ROOM IN BOUTIQUE HOTEL,HOTEL ROOM,4,67.0,7619.0,4.0,1,129,140
TINY HOUSE,ENTIRE HOME/APT,4,66.0,2666.0,3.0,1,131,334
GUESTHOUSE,ENTIRE HOME/APT,6,66.0,1667.2,5.0,1,132,439
BOUTIQUE HOTEL,HOTEL ROOM,4,65.0,3260.75,4.0,1,133,292
SERVICED APARTMENT,HOTEL ROOM,6,65.0,3130.0,3.0,1,135,299
GUEST SUITE,ENTIRE HOME/APT,1,65.0,675.88,8.0,1,134,581
ROOM IN APARTHOTEL,ENTIRE HOME/APT,8,64.0,28901.33,3.0,1,136,33
ROOM IN APARTHOTEL,ENTIRE HOME/APT,7,63.0,20379.67,3.0,1,139,44
BUNGALOW,ENTIRE HOME/APT,6,63.0,2016.8,5.0,1,137,407
HOUSE,PRIVATE ROOM,4,63.0,1330.33,3.0,1,138,481
ROOM IN BOUTIQUE HOTEL,HOTEL ROOM,3,62.0,5850.0,3.0,1,143,177
OTHER,ENTIRE HOME/APT,3,62.0,3062.67,3.0,1,140,306
TOWNHOUSE,ENTIRE HOME/APT,3,62.0,1323.83,6.0,1,142,482
HOSTEL,PRIVATE ROOM,2,62.0,433.33,9.0,1,141,622
VILLA,PRIVATE ROOM,2,61.0,6293.33,3.0,1,144,169
ENTIRE APARTMENT,ENTIRE HOME/APT,7,61.0,4144.33,3.0,1,146,244
PRIVATE ROOM IN BUNGALOW,PRIVATE ROOM,2,61.0,907.5,4.0,1,145,547
PRIVATE ROOM IN TOWNHOUSE,PRIVATE ROOM,2,60.0,429450.0,2.0,1,174,4
ENTIRE BUNGALOW,ENTIRE HOME/APT,7,60.0,11985.0,2.0,1,158,83
APARTMENT,HOTEL ROOM,4,60.0,9750.0,2.0,1,147,101
ISLAND,ENTIRE HOME/APT,3,60.0,8880.0,2.0,1,159,115
ENTIRE TOWNHOUSE,ENTIRE HOME/APT,9,60.0,8745.0,2.0,1,157,116
CABIN,ENTIRE HOME/APT,4,60.0,8700.0,2.0,1,156,119
ENTIRE HOME/APT,ENTIRE HOME/APT,4,60.0,6780.0,2.0,1,168,160
GUEST SUITE,ENTIRE HOME/APT,4,60.0,4680.0,2.0,1,165,225
ENTIRE TOWNHOUSE,ENTIRE HOME/APT,4,60.0,4635.0,2.0,1,167,226
PRIVATE ROOM IN APARTMENT,PRIVATE ROOM,6,60.0,4140.0,2.0,1,151,247
ENTIRE CONDOMINIUM,ENTIRE HOME/APT,4,60.0,3615.0,2.0,1,171,267
ROOM IN BOUTIQUE HOTEL,PRIVATE ROOM,3,60.0,3008.33,3.0,1,162,308
ENTIRE PLACE,ENTIRE HOME/APT,3,60.0,3000.0,2.0,1,161,312
SHARED ROOM IN APARTMENT,SHARED ROOM,1,60.0,2835.0,2.0,1,155,327
PRIVATE ROOM IN VILLA,PRIVATE ROOM,4,60.0,2775.0,2.0,1,152,329
BUNGALOW,ENTIRE HOME/APT,2,60.0,2475.0,2.0,1,172,353
SHARED ROOM IN HOUSE,SHARED ROOM,4,60.0,2385.0,2.0,1,153,369
ENTIRE PLACE,ENTIRE HOME/APT,1,60.0,2025.0,2.0,1,148,404
APARTMENT,SHARED ROOM,7,60.0,2010.0,2.0,1,149,408
CONDOMINIUM,SHARED ROOM,3,60.0,1935.0,2.0,1,154,417
TOWNHOUSE,PRIVATE ROOM,4,60.0,1665.0,2.0,1,169,440
PRIVATE ROOM IN CAMPER/RV,PRIVATE ROOM,3,60.0,1650.0,2.0,1,170,442
TOWNHOUSE,PRIVATE ROOM,6,60.0,1500.0,3.0,1,173,462
SHARED ROOM IN HOSTEL,SHARED ROOM,5,60.0,1230.0,2.0,1,160,498
PRIVATE ROOM IN GUESTHOUSE,PRIVATE ROOM,2,60.0,1150.0,3.0,1,164,512
SHARED ROOM IN BED AND BREAKFAST,SHARED ROOM,12,60.0,1140.0,2.0,1,163,514
SHARED ROOM IN HOUSE,SHARED ROOM,3,60.0,1020.0,2.0,1,150,536
LOFT,SHARED ROOM,1,60.0,870.0,2.0,1,175,554
ENTIRE LOFT,ENTIRE HOME/APT,1,60.0,510.0,2.0,1,166,609
ENTIRE VILLA,ENTIRE HOME/APT,12,59.0,26275.0,2.0,1,180,35
ENTIRE CONDOMINIUM,ENTIRE HOME/APT,6,59.0,20750.0,2.0,1,182,43
ENTIRE VILLA,ENTIRE HOME/APT,3,59.0,4860.5,2.0,1,176,214
TOWNHOUSE,ENTIRE HOME/APT,10,59.0,4044.0,3.0,1,177,252
BED AND BREAKFAST,PRIVATE ROOM,2,59.0,1955.5,2.0,1,178,415
GUESTHOUSE,PRIVATE ROOM,1,59.0,1375.5,2.0,1,181,478
GUESTHOUSE,ENTIRE HOME/APT,1,59.0,1227.5,4.0,1,179,499
ENTIRE SERVICED APARTMENT,ENTIRE HOME/APT,3,58.0,9106.0,2.0,1,185,105
SHARED ROOM IN CONDOMINIUM,SHARED ROOM,2,58.0,1832.0,2.0,1,184,421
PRIVATE ROOM IN HOUSE,PRIVATE ROOM,8,58.0,1098.17,6.0,1,183,518
VILLA,ENTIRE HOME/APT,7,57.0,9450.0,2.0,1,186,103
ENTIRE CHALET,ENTIRE HOME/APT,2,56.0,2635.0,2.0,1,187,337
TINY HOUSE,ENTIRE HOME/APT,2,55.0,7312.5,2.0,1,188,150
BOUTIQUE HOTEL,HOTEL ROOM,2,54.0,4571.13,8.0,1,189,228
ENTIRE LOFT,ENTIRE HOME/APT,5,54.0,2514.0,3.0,1,190,347
ENTIRE CONDOMINIUM,ENTIRE HOME/APT,7,53.0,5325.0,2.0,1,191,199
APARTMENT,SHARED ROOM,2,53.0,415.5,10.0,1,192,625
CABIN,ENTIRE HOME/APT,5,52.0,4306.67,3.0,1,193,237
ENTIRE TOWNHOUSE,ENTIRE HOME/APT,3,51.0,3249.0,2.0,1,195,294
ROOM IN BOUTIQUE HOTEL,PRIVATE ROOM,1,51.0,2953.5,2.0,1,194,316
GUEST SUITE,PRIVATE ROOM,4,51.0,706.22,9.0,1,196,575
SERVICED APARTMENT,PRIVATE ROOM,2,51.0,528.33,18.0,1,197,607
ENTIRE HOUSE,ENTIRE HOME/APT,13,50.0,12111.0,2.0,1,199,80
ROOM IN BOUTIQUE HOTEL,PRIVATE ROOM,6,50.0,5151.67,3.0,1,198,204
PRIVATE ROOM IN BED AND BREAKFAST,PRIVATE ROOM,2,50.0,2249.25,4.0,1,200,379
ENTIRE GUEST SUITE,ENTIRE HOME/APT,2,49.0,1454.75,4.0,1,201,467
PRIVATE ROOM IN BED AND BREAKFAST,PRIVATE ROOM,3,46.0,855.0,4.0,1,202,557
ENTIRE HOUSE,ENTIRE HOME/APT,6,45.0,5752.5,2.0,1,204,179
SERVICED APARTMENT,PRIVATE ROOM,4,45.0,3744.5,6.0,1,203,263
SERVICED APARTMENT,HOTEL ROOM,5,44.0,2623.43,7.0,1,205,338
ENTIRE VILLA,ENTIRE HOME/APT,16,42.0,22647.0,2.0,1,207,40
ENTIRE TOWNHOUSE,ENTIRE HOME/APT,2,42.0,8736.0,2.0,1,206,118
PRIVATE ROOM IN HOSTEL,PRIVATE ROOM,4,42.0,1126.5,4.0,1,209,515
PRIVATE ROOM IN VILLA,PRIVATE ROOM,2,42.0,895.0,3.0,1,208,551
BOAT,ENTIRE HOME/APT,4,40.0,21360.0,2.0,1,212,42
APARTMENT,ENTIRE HOME/APT,3,40.0,1618.33,3.0,1,210,447
GUEST SUITE,PRIVATE ROOM,3,40.0,1102.0,5.0,1,211,517
ROOM IN APARTHOTEL,ENTIRE HOME/APT,3,39.0,1089.9,10.0,1,215,520
PRIVATE ROOM IN TINY HOUSE,PRIVATE ROOM,2,39.0,1074.33,3.0,1,213,526
PRIVATE ROOM IN BARN,PRIVATE ROOM,2,39.0,670.5,2.0,1,214,584
ROOM IN SERVICED APARTMENT,HOTEL ROOM,5,38.0,9101.0,2.0,1,216,106
ENTIRE SERVICED APARTMENT,ENTIRE HOME/APT,4,38.0,4770.0,2.0,1,218,219
ENTIRE VILLA,ENTIRE HOME/APT,5,38.0,4740.0,2.0,1,220,222
LOFT,ENTIRE HOME/APT,5,38.0,3492.0,2.0,1,221,281
CABIN,ENTIRE HOME/APT,3,38.0,1780.0,2.0,1,219,428
CONDOMINIUM,ENTIRE HOME/APT,1,38.0,1586.0,3.0,1,217,451
ENTIRE APARTMENT,ENTIRE HOME/APT,16,37.0,15335.0,2.0,1,222,60
ENTIRE CONDOMINIUM,ENTIRE HOME/APT,1,37.0,1220.0,2.0,1,223,502
CABIN,PRIVATE ROOM,1,37.0,569.67,3.0,1,224,599
HOUSE,ENTIRE HOME/APT,8,36.0,7751.33,3.0,1,225,139
ROOM IN HOTEL,PRIVATE ROOM,4,36.0,3273.0,2.0,1,226,290
APARTMENT,PRIVATE ROOM,6,35.0,2166.67,3.0,1,227,388
SERVICED APARTMENT,ENTIRE HOME/APT,3,34.0,5647.7,10.0,1,230,184
ENTIRE GUEST SUITE,ENTIRE HOME/APT,1,34.0,888.0,2.0,1,228,552
HOUSE,SHARED ROOM,2,34.0,563.33,3.0,1,229,601
ENTIRE VILLA,ENTIRE HOME/APT,9,33.0,66712.5,2.0,1,233,16
ENTIRE APARTMENT,ENTIRE HOME/APT,5,33.0,2174.0,3.0,1,231,386
SHARED ROOM IN APARTMENT,SHARED ROOM,4,33.0,831.0,2.0,1,232,560
VILLA,ENTIRE HOME/APT,9,32.0,14296.33,3.0,1,235,69
SERVICED APARTMENT,PRIVATE ROOM,6,32.0,5124.0,2.0,1,234,208
OTHER,ENTIRE HOME/APT,4,32.0,3369.0,2.0,1,236,284
APARTMENT,ENTIRE HOME/APT,14,32.0,2433.33,3.0,1,237,356
SHARED ROOM IN HOUSE,SHARED ROOM,5,32.0,230.0,3.0,1,238,659
SERVICED APARTMENT,ENTIRE HOME/APT,1,31.0,37564.0,2.0,1,244,22
PRIVATE ROOM IN EARTH HOUSE,PRIVATE ROOM,1,31.0,2280.0,2.0,1,241,375
PRIVATE ROOM IN CONDOMINIUM,PRIVATE ROOM,2,31.0,1675.0,2.0,1,239,438
PRIVATE ROOM IN BED AND BREAKFAST,PRIVATE ROOM,1,31.0,777.5,4.0,1,240,566
SHARED ROOM IN APARTMENT,SHARED ROOM,2,31.0,730.0,3.0,1,242,574
HOSTEL,SHARED ROOM,12,31.0,467.5,2.0,1,243,615
BOAT,ENTIRE HOME/APT,10,30.0,675000.0,1.0,1,417,3
ENTIRE HOME/APT,ENTIRE HOME/APT,8,30.0,110760.0,1.0,1,426,5
CABIN,PRIVATE ROOM,6,30.0,103590.0,1.0,1,430,6
PRIVATE ROOM IN CABIN,PRIVATE ROOM,6,30.0,103590.0,1.0,1,433,7
PRIVATE ROOM IN BOAT,PRIVATE ROOM,4,30.0,99000.0,1.0,1,436,8
ENTIRE APARTMENT,ENTIRE HOME/APT,15,30.0,90000.0,1.0,1,438,11
ENTIRE GUEST SUITE,ENTIRE HOME/APT,12,30.0,90000.0,1.0,1,437,10
ENTIRE VILLA,ENTIRE HOME/APT,8,30.0,81000.0,1.0,1,439,12
ENTIRE HOME/APT,ENTIRE HOME/APT,10,30.0,76800.0,1.0,1,440,13
ROOM IN HOTEL,PRIVATE ROOM,2,30.0,69240.0,1.0,1,247,14
ENTIRE HOME/APT,ENTIRE HOME/APT,6,30.0,49140.0,1.0,1,248,17
PRIVATE ROOM IN HOUSE,PRIVATE ROOM,10,30.0,45000.0,1.0,1,249,20
EARTH HOUSE,ENTIRE HOME/APT,6,30.0,39000.0,1.0,1,250,21
ENTIRE HOUSE,ENTIRE HOME/APT,12,30.0,37500.0,1.0,1,251,23
ENTIRE HOUSE,ENTIRE HOME/APT,8,30.0,36000.0,1.0,1,252,24
SERVICED APARTMENT,ENTIRE HOME/APT,8,30.0,33030.0,1.0,1,253,26
FARM STAY,ENTIRE HOME/APT,10,30.0,33000.0,1.0,1,254,27
OTHER,ENTIRE HOME/APT,6,30.0,31140.0,1.0,1,255,28
ENTIRE GUEST SUITE,ENTIRE HOME/APT,8,30.0,30000.0,1.0,1,256,30
ROOM IN HOTEL,HOTEL ROOM,5,30.0,26400.0,1.0,1,257,34
ROOM IN BOUTIQUE HOTEL,PRIVATE ROOM,16,30.0,25710.0,1.0,1,258,36
OTHER,ENTIRE HOME/APT,8,30.0,24810.0,1.0,1,259,37
ENTIRE FLOOR,ENTIRE HOME/APT,5,30.0,20310.0,1.0,1,260,45
RESORT,HOTEL ROOM,4,30.0,19380.0,1.0,1,261,46
BOAT,PRIVATE ROOM,3,30.0,18000.0,1.0,1,264,50
SHARED ROOM IN COTTAGE,SHARED ROOM,16,30.0,18000.0,1.0,1,263,49
PRIVATE ROOM IN BOAT,PRIVATE ROOM,3,30.0,18000.0,1.0,1,262,48
BOAT,PRIVATE ROOM,6,30.0,17970.0,1.0,1,265,51
ENTIRE VILLA,ENTIRE HOME/APT,4,30.0,17070.0,1.0,1,266,54
ROOM IN RESORT,HOTEL ROOM,4,30.0,16830.0,1.0,1,267,55
ENTIRE TOWNHOUSE,ENTIRE HOME/APT,14,30.0,16710.0,1.0,1,268,56
HOUSE,ENTIRE HOME/APT,10,30.0,15000.0,1.0,1,271,64
CAMPER/RV,ENTIRE HOME/APT,3,30.0,15000.0,1.0,1,272,65
ENTIRE LOFT,ENTIRE HOME/APT,8,30.0,15000.0,1.0,1,269,62
TOWNHOUSE,ENTIRE HOME/APT,14,30.0,15000.0,1.0,1,270,63
HOSTEL,PRIVATE ROOM,5,30.0,14985.0,2.0,1,273,66
DOME HOUSE,ENTIRE HOME/APT,4,30.0,14700.0,1.0,1,274,67
BARN,ENTIRE HOME/APT,4,30.0,13500.0,1.0,1,275,71
APARTMENT,PRIVATE ROOM,10,30.0,12600.0,1.0,1,276,75
ENTIRE COTTAGE,ENTIRE HOME/APT,16,30.0,12420.0,1.0,1,277,77
PRIVATE ROOM IN HOSTEL,PRIVATE ROOM,10,30.0,12360.0,1.0,1,278,79
BOAT,ENTIRE HOME/APT,1,30.0,12000.0,1.0,1,279,81
ISLAND,ENTIRE HOME/APT,8,30.0,12000.0,1.0,1,280,82
COTTAGE,ENTIRE HOME/APT,6,30.0,11970.0,1.0,1,281,84
PRIVATE ROOM IN APARTMENT,PRIVATE ROOM,16,30.0,11970.0,1.0,1,282,85
ENTIRE APARTMENT,ENTIRE HOME/APT,11,30.0,11280.0,1.0,1,283,87
FARM STAY,ENTIRE HOME/APT,4,30.0,10500.0,1.0,1,285,94
BUNGALOW,ENTIRE HOME/APT,7,30.0,10500.0,1.0,1,284,93
PRIVATE ROOM IN HOUSE,PRIVATE ROOM,7,30.0,10470.0,1.0,1,286,95
BED AND BREAKFAST,PRIVATE ROOM,7,30.0,10470.0,1.0,1,287,96
BUNGALOW,ENTIRE HOME/APT,9,30.0,10380.0,1.0,1,288,97
APARTMENT,HOTEL ROOM,6,30.0,10020.0,1.0,1,289,98
HOSTEL,PRIVATE ROOM,6,30.0,9990.0,3.0,1,290,99
EARTH HOUSE,ENTIRE HOME/APT,2,30.0,9600.0,1.0,1,291,102
COTTAGE,ENTIRE HOME/APT,4,30.0,9030.0,1.0,1,292,108
HOUSE,ENTIRE HOME/APT,7,30.0,9030.0,1.0,1,293,109
ENTIRE COTTAGE,ENTIRE HOME/APT,4,30.0,9000.0,1.0,1,296,112
ENTIRE CONDOMINIUM,ENTIRE HOME/APT,11,30.0,9000.0,1.0,1,295,111
GUEST SUITE,ENTIRE HOME/APT,8,30.0,9000.0,1.0,1,294,110
HOLIDAY PARK,ENTIRE HOME/APT,6,30.0,8970.0,1.0,1,297,113
PRIVATE ROOM IN APARTMENT,PRIVATE ROOM,10,30.0,8640.0,1.0,1,298,120
TOWNHOUSE,PRIVATE ROOM,7,30.0,8550.0,1.0,1,299,122
CONDOMINIUM,ENTIRE HOME/APT,9,30.0,8280.0,1.0,1,300,125
ENTIRE TOWNHOUSE,ENTIRE HOME/APT,5,30.0,8100.0,1.0,1,301,130
APARTMENT,ENTIRE HOME/APT,15,30.0,8040.0,1.0,1,302,131
ENTIRE TOWNHOUSE,ENTIRE HOME/APT,7,30.0,7920.0,1.0,1,303,134
PRIVATE ROOM IN GUESTHOUSE,PRIVATE ROOM,5,30.0,7800.0,1.0,1,304,135
BED AND BREAKFAST,HOTEL ROOM,3,30.0,7770.0,1.0,1,305,138
